#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
britannic_pagan;Brittanic;;;;;;;;;;;;;x
britannic_pagan_desc;The Brittanic religion is an offshoot of Druidic belief focused on the goddess Britannia, the personification of the island of Great Britain. She is viewed as a mother goddess and is worshipped to the exclusion of all other gods from Celtic tradition. The priesthood is entirely composed of women known as Dryads, with the Arch-Dryad as the supreme spiritual authority. Brittanics also venerate a host of saints, many of whom are recognized as gods amongst the Druids.;;;;;;;;;;;;;x
GOD_BRITANNIA;Britannia;;;;;;;;;;;;;x
GOD_ST_BOUDICCA;St. Boudicca;;;;;;;;;;;;;x
GOD_SC_ANDRASTE;Sanctaidd Andraste;;;;;;;;;;;;;x
GOD_ST_BRIGID;St. Brigid;;;;;;;;;;;;;x
dryad;Dryad;;;;;;;;;;;;;x
dryad_desc;This character is a dryad, a Britannic priestess.;;;;;;;;;;;;;x
k_britannic;Church of Britannia;;;;;;;;;;;;;x
k_britannic_adj;Britannic;;;;;;;;;;;;;x
k_britannic_foa;Your Holiness;;;;;;;;;;;;;x
morrigan;Morrigan;;;;;;;;;;;;;x
morrigan_desc;This character is a Morrigan, a veteran of a Britannic Great Holy War.;;;;;;;;;;;;;x
