#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
HERO_RELIGION;Heroic Religion;;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;;;;;;;;;;;;;x
gaelic_pagan;Gaelic;;;;;;;;;;;;;x
gaelic_pagan_reformed;Druidic;Druidique;;;;;;;;;;;;x
gaelic_pagan_DESC;Gaelic paganism is one of the last surviving branch of the ancient druidic belief systems. A pantheon of gods and a world full of spirits , the children of Dana rule the Skies, the Earth and the Otherworld. The main gods are Dana and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Celtic Pagan faith can be Reformed;;;;;;;;;;;;;x
gaelic_pagan_reformed_DESC;The reformed Gaelic faith has a standardized liturgy etched on the many raised stones on the British Isles, telling the story of the Tuatha De Danann. It is led by the circle of the Druids with the Arch-Druid as the religious leader of the faithful. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! The Arch-Druid can call Great Holy Wars;;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;;;;;;;;;;;;;x
GOD_LUGH;Lugh;;;;;;;;;;;;;x
GOD_MACHA;Macha;;;;;;;;;;;;;x
GOD_DANA;Dana;;;;;;;;;;;;;x
GOD_NUADA;Nuada;;;;;;;;;;;;;x
d_gaelic_pagan_reformed;The Circle of Druids;Le Cercle des Druides;;;;;;;;;;;;x
druidic;Brythonic;;;;;;;;;;;;;x
druidic_reformed;Druidic;Druidique;;;;;;;;;;;;x
druidic_DESC;Brythonic paganism is one of the last surviving branch of the ancient druidic belief systems. A pantheon of gods and a world full of spirits , the children of Don rule the Skies, the Earth and the Otherworld. The main gods are Don and Lud, parents of the gods, Beli, the god of Healing, the Great Queen Rhiannon, the Horned god, called Amanaeth, Manawydan, the Sea God and Lleu of the Skillful Hand. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Celtic Pagan faith can be Reformed;;;;;;;;;;;;;x
druidic_reformed_DESC;The reformed celtic faith has a standardized liturgy etched on the many raised stones on the British Isles, telling the story of Don and her children. It is led by the circle of the Druids with the Arch-Druid as the religious leader of the faithful. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! The Arch-Druid can call Great Holy Wars;;;;;;;;;;;;;x
GOD_BELI;Beli Mawr;;;;;;;;;;;;;x
GOD_BELI_irish;Angus mac Og;;;;;;;;;;;;;x
GOD_AMANAETH;Amanaeth;;;;;;;;;;;;;x
GOD_AMANAETH_irish;The Horned God;;;;;;;;;;;;;x
GOD_MANAWYDAN;Manawydan;;;;;;;;;;;;;x
GOD_MANAWYDAN_irish;Manannan mac Lir;;;;;;;;;;;;;x
GOD_LLEU;Lleu;;;;;;;;;;;;;x
GOD_LLEU_irish;Lugh;;;;;;;;;;;;;x
GOD_RHIANNON;Rhiannon;;;;;;;;;;;;;x
GOD_RHIANNON_irish;Macha;;;;;;;;;;;;;x
GOD_EARTH;Don;;;;;;;;;;;;;x
GOD_EARTH_irish;Dana;;;;;;;;;;;;;x
GOD_SKY;Lud;;;;;;;;;;;;;x
GOD_SKY_irish;Nuada;;;;;;;;;;;;;x
THE_STONES;The Sacred Stones;Les Pierres Sacrées;;;;;;;;;;;;x
THE_BALLADS;The Ballads;Les Ballades;;;;;;;;;;;;x
d_druidic_reformed;The Circle of Druids;Le Cercle des Druides;;;;;;;;;;;;x
ARCH_DRUID;Arch Druid;Archi Druide;;;;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;Plus vieux des Druides;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
;;;;;;;;;;
baron_druidic_reformed;Lord;Seigneur;;;Señor;;;;;;;;;x
baron_female_druidic_reformed;Lady;Dame;Lady;;Señora;;;;;;;;;x
barony_of_druidic_reformed;Castle of;Château de;;;;;;;;;;;;x
count_druidic_reformed;High Lord;Haut Seigneur;;;;;;;;;;;;x
count_female_druidic_reformed;High Lady;Haute Dame;;;;;;;;;;;;x
county_of_druidic_reformed;High Lordship of;Haute Seigneurie de;;;;;;;;;;;;x
duke_druidic_reformed;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
duke_female_druidic_reformed;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
duchy_of_druidic_reformed;Principality of;Principalité de;;;;;;;;;;;;x
king_druidic_reformed;King;Roi;König;;Rey;;;;;;;;;x
king_female_druidic_reformed;Queen;Reine;Königin;;Reina;;;;;;;;;x
kingdom_of_druidic_reformed;Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x
emperor_druidic_reformed;High King;Haut Roi;;;;;;;;;;;;x
emperor_female_druidic_reformed;High Queen;Haute Reine;;;;;;;;;;;;x
empire_of_druidic_reformed;High Kingdom of;Haut Royaume de;;;;;;;;;;;;x
;;;;;;;;;;
family_palace_baron_druidic_reformed;Elder;Ainé;;;;;;;;;;;;x
family_palace_baron_female_druidic_reformed;Lady;Dame;Lady;;Señora;;;;;;;;;x
city_baron_druidic_reformed;Chief;Chef;Chief;Chef;Häuptling;;Mandatario;;;;;;;x
city_baron_female_druidic_reformed;Lady;Dame;Lady;;Señora;;;;;;;;;x
city_count_druidic_reformed;High Chief;Haut Chef;;;;;;;;;;;;x
city_count_female_druidic_reformed;Lady;Dame;Lady;;Señora;;;;;;;;;x
city_duke_druidic_reformed;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duke_female_druidic_reformed;Princess;Princesse;Prinzessin;;Princesa;;;;;;;;;x
city_duchy_of_druidic_reformed;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
city_king_druidic_reformed;Grand Prince;Grand Prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
city_king_female_druidic_reformed;Grand Princess;;;;;;;;;;;;;x
city_kingdom_of_druidic_reformed;Federation of;Fédération de;;;;;;;;;;;;x
city_emperor_druidic_reformed;Vergobret;Vergobret;;;;;;;;;;;;x
city_emperor_female_druidic_reformed;Lady;Dame;;;;;;;;;;;;x
city_empire_of_druidic_reformed;Nation of;Nation de;;;;;;;;;;;;x
;;;;;;;;;;
temple_baron_druidic_reformed;Druid;Druide;;;;;;;;;;;;x
temple_barony_of_druidic_reformed;Sacred Grove of;Clairière Sacrée de;;;;;;;;;;;;x
temple_count_druidic_reformed;Druid;Druide;;;;;;;;;;;;x
