#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
EVTDESCancrel.200;With the city back under Catholic control, the Latin Patriarchate of Antioch has been properly restored as a episcopal see under papal authority. It was originally founded by Saint Peter the Apostle, the first Pope of the Catholic Church.;;;;;;;;;;;;;x
EVTDESCancrel.201;With the city back under Catholic control, the Latin Patriarchate of Jerusalem has been properly restored as a episcopal see under papal authority. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;;;;;;;;;;;;;x
EVTDESCancrel.202;With the city back under Catholic control, the Latin Patriarchate of Alexandria has been properly restored as a episcopal see under papal authority. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;;;;;;;;;;;;;x
EVTDESCancrel.203;With the city back under Catholic control, the Latin Patriarchate of Constantinople has been properly restored as a episcopal see under papal authority. If all five historical patriarchates of the Pentarchy are returned to papal control, the Great Schism between the Eastern and Western churches may finally be mended.;;;;;;;;;;;;;x
catholic_mend_great_schism;Mend the Great Schism;Mettre fin au Grand Schisme;Heile das Große Schisma;;Reparar el Gran Cisma;;;;;;;;;x
catholic_mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under the papal authority of the Catholic faith, there may be a chance to finally reunite Christendom.;;;;;;;;;;;;;x
EVTDESCancrel.210;At last the Great Schism between the Western Catholic Church and the Eastern Orthodox Church has been mended. With the spread of Catholicism and the reunification of the Pentarchy, including the vital episcopal see of Constantinople, the Orthodox faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the Papacy can once more claim universal rule over all of Christendom.;;;;;;;;;;;;;x
;;;;;;;;;;
restore_roman_empire_hre;Restore the Roman Empire;Rétablir l'Empire romain;Das Römische Reich wiederherstellen;;Reinstaurar el Imperio Romano;;;;;;;;;x
restore_roman_empire_hre_desc;If Rome, Constantinople, and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the East as the true and rightful successor of the Roman State.;;;;;;;;;;;;;x
EVTDESCancrel.220;Friends, Romans, countrymen, lend me your ears! After the miraculous recovery of territory lost centuries ago, the Roman Empire has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\nThe Roman State will no longer be referred to as the "Empire of the Germans" by jealous pretenders in the East, but recognized as the true heir to the legacy of Rome. [Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;;;;;;;;;;;;;x
EVTDESCancrel.221;The Holy Roman Empire, previously referred to as the "Empire of the Germans" by many in the East, have somehow managed to reclaim enough lost territory to declare the Roman Empire restored! It can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;;;;;;;;;;;;;x
recreate_roman_empire;Recreate the Roman Empire;;;;;;;;;;;;;x
recreate_roman_empire_desc;If we were to hold all the core territories of the old empire, we could gain recognition as the true and rightful successor of the Roman State.;;;;;;;;;;;;;x
EVTDESCancrel.222;Friends, Romans, countrymen, lend me your ears! The Roman Empire, long thought to be lost to the world, has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\n[Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;;;;;;;;;;;;;x
EVTDESCancrel.223;[From.GetTitledFirstName] has declared the Roman Empire, long thought to be lost to the world, to be restored! Having laid claim to the homelands of the old empire, it can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;;;;;;;;;;;;;x
